atom_site_type_symbol,atom_site_fract_x,atom_site_fract_y,atom_site_fract_z,predicted_output
"Sn', 'Sn', 'Sn', 'Sn', 'Sn', 'Sn', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'","0.44501900', '0.94501900', '0.55498100', '0.05498100', '0.50000000', '0.00000000', '0.10709000', '0.60709000', '0.89291000', '0.39291000', '0.30024500', '0.80024500', '0.03079200', '0.53079200', '0.96920800', '0.46920800', '0.19565300', '0.69565300', '0.80434700', '0.30434700', '0.19975500', '0.69975500'","0.37292400', '0.62707600', '0.62707600', '0.37292400', '0.00000000', '0.00000000', '0.41568300', '0.58431700', '0.58431700', '0.41568300', '0.32696100', '0.67303900', '0.01123400', '0.98876600', '0.98876600', '0.01123400', '0.77519900', '0.22480100', '0.22480100', '0.77519900', '0.32696100', '0.67303900'","0.16698900', '0.33301100', '0.83301100', '0.66698900', '0.50000000', '0.00000000', '0.24592900', '0.25407100', '0.75407100', '0.74592900', '0.46299800', '0.03700200', '0.85042500', '0.64957500', '0.14957500', '0.35042500', '0.54746200', '0.95253800', '0.45253800', '0.04746200', '0.96299800', '0.53700200'","[...,.75 00 05 00 [..]00 075 05 [.] 05"
"La', 'La', 'La', 'Sn'","0.50000000', '0.50000000', '0.00000000', '0.00000000'","0.50000000', '0.00000000', '0.50000000', '0.00000000'","0.00000000', '0.50000000', '0.50000000', '0.00000000'","[.75 05 025 075 025 [.,.]05 075"
"K', 'K', 'K', 'K', 'K', 'K', 'K', 'K', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb'","0.60167600', '0.10167600', '0.39832400', '0.89832400', '0.33394400', '0.83394400', '0.66605600', '0.16605600', '0.10127100', '0.60127100', '0.89872900', '0.39872900', '0.83441400', '0.33441400', '0.16558600', '0.66558600'","0.21864000', '0.78136000', '0.78136000', '0.21864000', '0.24354000', '0.75646000', '0.75646000', '0.24354000', '0.32254000', '0.67746000', '0.67746000', '0.32254000', '0.32103100', '0.67896900', '0.67896900', '0.32103100'","0.66977900', '0.83022100', '0.33022100', '0.16977900', '0.96556100', '0.53443900', '0.03443900', '0.46556100', '0.71320800', '0.78679200', '0.28679200', '0.21320800', '0.87644600', '0.62355400', '0.12355400', '0.37644600'","[.75 00 025 075 025 [.,.]05 05 075"
"Cd', 'Pd'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","[.,.75 05 025 075 025 [.,5 075"
"Ni', 'Ni', 'Ni', 'Ni', 'Ge', 'Ge'","0.00000000', '0.00000000', '0.33333300', '0.66666700', '0.33333300', '0.66666700'","0.00000000', '0.00000000', '0.66666700', '0.33333300', '0.66666700', '0.33333300'","0.50000000', '0.00000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Cd', 'Cd', 'Cd', 'Te', 'Te', 'Te'","0.50637300', '0.00000000', '0.49362700', '0.50287700', '0.00000000', '0.49712300'","0.00000000', '0.50637300', '0.49362700', '0.00000000', '0.50287700', '0.49712300'","0.33333300', '0.66666700', '0.00000000', '0.83333300', '0.16666700', '0.50000000'","[.75 00 025 075 025 [.,.75"
"Nd', 'Sn', 'Sn', 'Sn'","0.00000000', '0.50000000', '0.00000000', '0.50000000'","0.00000000', '0.00000000', '0.50000000', '0.50000000'","0.00000000', '0.50000000', '0.50000000', '0.00000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Y', 'Y', 'Y', 'Y', 'Y', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg'","0.00000000', '0.37612000', '0.00000000', '0.62388000', '0.00000000', '0.19086800', '0.17995200', '0.37081900', '0.62918100', '0.00000000', '0.38810300', '0.32422100', '0.61189700', '0.32422100', '0.67577900', '0.28767700', '0.00000000', '0.00000000', '0.61189700', '0.38810300', '0.71232300', '0.67577900', '0.37081900', '0.80913200', '0.62918100', '0.80913200', '0.19086800', '0.82004800', '0.00000000'","0.37612000', '0.00000000', '0.00000000', '0.62388000', '0.00000000', '0.82004800', '0.37081900', '0.37081900', '0.80913200', '0.80913200', '0.71232300', '0.00000000', '0.00000000', '0.61189700', '0.67577900', '0.67577900', '0.61189700', '0.32422100', '0.32422100', '0.38810300', '0.38810300', '0.28767700', '0.17995200', '0.00000000', '0.00000000', '0.62918100', '0.19086800', '0.19086800', '0.62918100'","0.00000000', '0.00000000', '0.37612000', '0.62388000', '0.00000000', '0.19086800', '0.37081900', '0.17995200', '0.00000000', '0.62918100', '0.38810300', '0.61189700', '0.32422100', '0.00000000', '0.28767700', '0.67577900', '0.32422100', '0.61189700', '0.00000000', '0.71232300', '0.38810300', '0.67577900', '0.37081900', '0.62918100', '0.80913200', '0.00000000', '0.82004800', '0.19086800', '0.80913200'","[...,.75 00 05 00 [..]00 075 05 [.].. "
"Pu', 'Pu', 'Ge', 'Ge', 'Ge', 'Ge'","0.25000000', '0.50000000', '0.82968300', '0.07968300', '0.67031700', '0.92031700'","0.75000000', '0.50000000', '0.32968300', '0.07968300', '0.17031700', '0.92031700'","0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.50000000', '0.00000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn'","0.79479900', '0.20520100', '0.79479900', '0.20520100', '0.79479900', '0.20520100', '0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.50000000', '0.00000000', '0.50000000', '0.82214300', '0.82214300', '0.53357000', '0.82214300', '0.17785700', '0.17785700', '0.46643000', '0.17785700', '0.62205700', '0.62205700', '0.13382900', '0.62205700', '0.37794300', '0.37794300', '0.86617100', '0.37794300'","0.79479900', '0.79479900', '0.20520100', '0.20520100', '0.20520100', '0.79479900', '0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000', '0.00000000', '0.82214300', '0.53357000', '0.82214300', '0.82214300', '0.17785700', '0.46643000', '0.17785700', '0.17785700', '0.62205700', '0.13382900', '0.62205700', '0.62205700', '0.37794300', '0.86617100', '0.37794300', '0.37794300'","0.20520100', '0.20520100', '0.20520100', '0.79479900', '0.79479900', '0.79479900', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000', '0.00000000', '0.53357000', '0.82214300', '0.82214300', '0.82214300', '0.46643000', '0.17785700', '0.17785700', '0.17785700', '0.13382900', '0.62205700', '0.62205700', '0.62205700', '0.86617100', '0.37794300', '0.37794300', '0.37794300'","[...,.75 00 05 00 [..]00 075 05 [. [.] 05"
"Th', 'Cu', 'Cu'","0.00000000', '0.33333300', '0.66666700'","0.00000000', '0.66666700', '0.33333300'","0.00000000', '0.50000000', '0.50000000'","[.,.75 05 025 075 025 [.]05 075"
"Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt', 'Pt'","0.50000000', '0.75000000', '0.18941800', '0.29662800', '0.40275200', '0.00996100', '0.06058200', '0.95337200', '0.84724800', '0.24003900', '0.14037200', '0.55364900', '0.04990300', '0.96318000', '0.10962800', '0.69635100', '0.20009700', '0.28682000', '0.26519600', '0.50573200', '0.94317100', '0.68370700', '0.98480400', '0.74426800', '0.30682900', '0.56629300', '0.48916000', '0.51119500', '0.94778700', '0.46982200', '0.76084000', '0.73880500', '0.30221300', '0.78017800', '0.20270200', '0.43031800', '0.61489000', '0.34250600', '0.04729800', '0.81968200', '0.63511000', '0.90749400', '0.03508500', '0.56166700', '0.74746600', '0.77404800', '0.21491500', '0.68833300', '0.50253400', '0.47595200', '0.99348900', '0.85990000', '0.05671200', '0.42312200', '0.25651100', '0.39010000', '0.19328800', '0.82687800'","0.50000000', '0.25000000', '0.04662800', '0.75996100', '0.93941800', '0.15275200', '0.70337200', '0.99003900', '0.81058200', '0.59724800', '0.30364900', '0.71318000', '0.89037200', '0.79990300', '0.44635100', '0.03682000', '0.85962800', '0.95009700', '0.25573200', '0.43370700', '0.01519600', '0.69317100', '0.49426800', '0.31629300', '0.73480400', '0.05682900', '0.26119500', '0.21982200', '0.23916000', '0.69778700', '0.48880500', '0.53017800', '0.51084000', '0.05221300', '0.18031800', '0.09250600', '0.95270200', '0.36489000', '0.56968200', '0.65749400', '0.79729800', '0.38511000', '0.31166700', '0.52404800', '0.78508500', '0.49746600', '0.43833300', '0.22595200', '0.96491500', '0.25253400', '0.60990000', '0.17312200', '0.74348900', '0.80671200', '0.14010000', '0.57687800', '0.00651100', '0.94328800'","0.00000000', '0.50000000', '0.03666700', '0.35720900', '0.64279100', '0.96333300', '0.46333300', '0.14279100', '0.85720900', '0.53666700', '0.34046900', '0.66327700', '0.33672300', '0.65953100', '0.15953100', '0.83672300', '0.16327700', '0.84046900', '0.57202500', '0.49053600', '0.50946400', '0.42797500', '0.92797500', '0.00946400', '0.99053600', '0.07202500', '0.79137300', '0.27203500', '0.72796500', '0.20862700', '0.70862700', '0.22796500', '0.77203500', '0.29137300', '0.83781100', '0.47761600', '0.52238400', '0.16218900', '0.66218900', '0.02238400', '0.97761600', '0.33781100', '0.53761900', '0.77658200', '0.22341800', '0.46238100', '0.96238100', '0.72341800', '0.27658200', '0.03761900', '0.18677800', '0.11641000', '0.88359000', '0.81322200', '0.31322200', '0.38359000', '0.61641000', '0.68677800'","[...,.. [..]00 05 00 00 [.].. "
"Sb', 'Sb', 'Pd', 'Pd'","0.33333300', '0.66666700', '0.00000000', '0.00000000'","0.66666700', '0.33333300', '0.00000000', '0.00000000'","0.25000000', '0.75000000', '0.00000000', '0.50000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Er', 'B', 'B', 'B', 'B', 'B', 'B'","0.00000000', '0.80133600', '0.19866400', '0.50000000', '0.50000000', '0.50000000', '0.50000000'","0.00000000', '0.50000000', '0.50000000', '0.50000000', '0.50000000', '0.19866400', '0.80133600'","0.00000000', '0.50000000', '0.50000000', '0.80133600', '0.19866400', '0.50000000', '0.50000000'","[.,.6715 05 025 075 025 [.75 075 [.]05 075"
"Ca', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn'","0.00000000', '0.50000000', '0.50000000', '0.00000000', '0.33333300', '0.66666700'","0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.66666700', '0.33333300'","0.00000000', '0.50000000', '0.50000000', '0.50000000', '0.00000000', '0.00000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Sr', 'Sr', 'Sr', 'Sr', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn'","0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.99811200', '0.50188800', '0.49811200', '0.00188800', '0.00188800', '0.49811200', '0.50188800', '0.99811200', '0.25000000', '0.25000000', '0.75000000', '0.75000000'","0.64663700', '0.85336300', '0.35336300', '0.14663700', '0.33912300', '0.16087700', '0.66087700', '0.83912300', '0.95787800', '0.54212200', '0.04212200', '0.45787800', '0.15275300', '0.34724700', '0.84724700', '0.65275300', '0.84724700', '0.65275300', '0.15275300', '0.34724700', '0.40571000', '0.09429000', '0.59429000', '0.90571000'","0.91050700', '0.41050700', '0.08949300', '0.58949300', '0.71405900', '0.21405900', '0.28594100', '0.78594100', '0.70559500', '0.20559500', '0.29440500', '0.79440500', '0.85711100', '0.35711100', '0.14288900', '0.64288900', '0.14288900', '0.64288900', '0.85711100', '0.35711100', '0.52180800', '0.02180800', '0.47819200', '0.97819200'","[...,.75 00 05 00 [..]00 075 05 [.] 05"
"Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'","0.75000000', '0.37500000', '0.25000000', '0.87500000', '0.62500000', '0.12500000', '0.65041100', '0.84958900', '0.50000000', '0.34958900', '0.00000000', '0.00000000', '0.50000000', '0.15041100'","0.87500000', '0.25000000', '0.62500000', '0.12500000', '0.37500000', '0.75000000', '0.65041100', '0.50000000', '0.00000000', '0.50000000', '0.84958900', '0.34958900', '0.00000000', '0.15041100'","0.12500000', '0.62500000', '0.37500000', '0.75000000', '0.25000000', '0.87500000', '0.65041100', '0.00000000', '0.84958900', '0.00000000', '0.50000000', '0.50000000', '0.34958900', '0.15041100'","[.75 00 025 075 025 [.,.]05 05 075"
"Ta', 'Ta', 'B', 'B'","0.85456300', '0.14543700', '0.55961300', '0.44038700'","0.14543700', '0.85456300', '0.44038700', '0.55961300'","0.75000000', '0.25000000', '0.75000000', '0.25000000'","[.75 05 025 075 025 [.,.]05 075"
"Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge'","0.29277600', '0.29277600', '0.00000000', '0.00000000', '0.70722400', '0.70722400', '0.33333300', '0.66666700', '0.66666700', '0.33333300', '0.65050700', '0.65050700', '0.00000000', '0.00000000', '0.34949300', '0.34949300'","0.00000000', '0.29277600', '0.70722400', '0.29277600', '0.70722400', '0.00000000', '0.66666700', '0.33333300', '0.33333300', '0.66666700', '0.00000000', '0.65050700', '0.34949300', '0.65050700', '0.34949300', '0.00000000'","0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000'","[.75 00 025 075 025 [.,.]05 05 075"
"Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb'","0.14083400', '0.64083400', '0.50000000', '0.35916600', '0.50000000', '0.00000000', '0.85916600', '0.00000000', '0.37500000', '0.87500000', '0.62500000', '0.12500000', '0.25000000', '0.75000000'","0.50000000', '0.50000000', '0.00000000', '0.35916600', '0.00000000', '0.64083400', '0.85916600', '0.14083400', '0.62500000', '0.25000000', '0.75000000', '0.87500000', '0.12500000', '0.37500000'","0.00000000', '0.00000000', '0.64083400', '0.35916600', '0.14083400', '0.50000000', '0.85916600', '0.50000000', '0.75000000', '0.12500000', '0.37500000', '0.25000000', '0.87500000', '0.62500000'","[.75 00 025 075 025 [.,.]05 05 075"
"C', 'C', 'C', 'C', 'C', 'C', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N'","0.17834000', '0.22675500', '0.59490500', '0.82166000', '0.77324500', '0.40509500', '0.32988700', '0.96669300', '0.70342000', '0.67011300', '0.03330700', '0.29658000', '0.33333300', '0.66666700'","0.77324500', '0.40509500', '0.82166000', '0.22675500', '0.59490500', '0.17834000', '0.03330700', '0.29658000', '0.67011300', '0.96669300', '0.70342000', '0.32988700', '0.66666700', '0.33333300'","0.25000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.75000000', '0.25000000', '0.75000000'","[.75 00 025 075 025 [.,.]05 05 075"
"Nd', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni'","0.00000000', '0.66666700', '0.33333300', '0.50000000', '0.50000000', '0.00000000'","0.00000000', '0.33333300', '0.66666700', '0.50000000', '0.00000000', '0.50000000'","0.00000000', '0.00000000', '0.00000000', '0.50000000', '0.50000000', '0.50000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Mg', 'Mg', 'Mg', 'Mg', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn', 'Zn'","0.33333300', '0.66666700', '0.66666700', '0.33333300', '0.00000000', '0.00000000', '0.17036100', '0.82963900', '0.34072200', '0.65927800', '0.17036100', '0.82963900'","0.66666700', '0.33333300', '0.33333300', '0.66666700', '0.00000000', '0.00000000', '0.34072200', '0.17036100', '0.17036100', '0.82963900', '0.82963900', '0.65927800'","0.06241800', '0.56241800', '0.93758200', '0.43758200', '0.00000000', '0.50000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000'","[.75 00 025 075 025 [.,.75 [.]05 05 075"
"Ba', 'Se'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","00 05 00 00 [.,.]05 05"
"Pd', 'Pd', 'F', 'F', 'F', 'F'","0.50000000', '0.00000000', '0.69540200', '0.19540200', '0.30459800', '0.80459800'","0.50000000', '0.00000000', '0.69540200', '0.80459800', '0.30459800', '0.19540200'","0.50000000', '0.00000000', '0.00000000', '0.50000000', '0.00000000', '0.50000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"Ta', 'O'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","00 05 00 00 [.,.]05 05"
"Nd', 'Sb'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","[.,.75 05 025 075 025 [.,5 075"
"Zr', 'O', 'O'","0.00000000', '0.25000000', '0.75000000'","0.00000000', '0.25000000', '0.75000000'","0.00000000', '0.25000000', '0.75000000'","[.,.75 05 025 075 0125 0125 [.]05 075"
"Pr', 'O', 'O'","0.00000000', '0.25000000', '0.75000000'","0.00000000', '0.25000000', '0.75000000'","0.00000000', '0.25000000', '0.75000000'","[.,.75 05 025 075 025 [.]05 075"
"V', 'Rh'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","0.50000000', '0.00000000'","00 05 00 00 [.,.]05 05"
"Zr', 'B', 'B'","0.00000000', '0.33333300', '0.66666700'","0.00000000', '0.66666700', '0.33333300'","0.00000000', '0.50000000', '0.50000000'","[.,.75 05 025 075 025 [.]05 075"
"La', 'La', 'La', 'La', 'Si', 'Si', 'Si', 'Si'","0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.75000000', '0.25000000'","0.38680000', '0.61320000', '0.88680000', '0.11320000', '0.88324900', '0.11675100', '0.38324900', '0.61675100'","0.67972600', '0.32027400', '0.82027400', '0.17972600', '0.53332600', '0.46667400', '0.96667400', '0.03332600'","[.,.67,.25 00 075 025 05 05 [.]025 075"
"Li', 'Li', 'Li', 'Hg'","0.25000000', '0.50000000', '0.75000000', '0.00000000'","0.25000000', '0.50000000', '0.75000000', '0.00000000'","0.25000000', '0.50000000', '0.75000000', '0.00000000'","[.75 05 025 075 025 [.,.75 [.]05 075"
"P', 'P', 'P', 'P', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd', 'Pd'","0.76089600', '0.26089600', '0.23910400', '0.73910400', '0.86719200', '0.36719200', '0.13280800', '0.63280800', '0.13475500', '0.63475500', '0.86524500', '0.36524500', '0.86652700', '0.36652700', '0.13347300', '0.63347300', '0.42054000', '0.92054000', '0.57946000', '0.07946000', '0.58034200', '0.08034200', '0.41965800', '0.91965800', '0.36448600', '0.86448600', '0.63551400', '0.13551400'","0.87679300', '0.12320700', '0.12320700', '0.87679300', '0.52912500', '0.47087500', '0.47087500', '0.52912500', '0.77342100', '0.22657900', '0.22657900', '0.77342100', '0.71371200', '0.28628800', '0.28628800', '0.71371200', '0.86683600', '0.13316400', '0.13316400', '0.86683600', '0.61994700', '0.38005300', '0.38005300', '0.61994700', '0.96002600', '0.03997400', '0.03997400', '0.96002600'","0.74919900', '0.75080100', '0.25080100', '0.24919900', '0.93105900', '0.56894100', '0.06894100', '0.43105900', '0.43124200', '0.06875800', '0.56875800', '0.93124200', '0.56382000', '0.93618000', '0.43618000', '0.06382000', '0.24932700', '0.25067300', '0.75067300', '0.74932700', '0.74879800', '0.75120200', '0.25120200', '0.24879800', '0.56434600', '0.93565400', '0.43565400', '0.06434600'","[...,.75 00 05 00 [..]00 075 05 [. [.] 05"
"Hg', 'Hg', 'Hg', 'Hg', 'Hg', 'Hg', 'Hg', 'Hg', 'Hg', 'Hg', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au'","0.58505600', '0.58505600', '0.00000000', '0.00000000', '0.41494400', '0.41494400', '0.33333300', '0.66666700', '0.66666700', '0.33333300', '0.23860200', '0.23860200', '0.00000000', '0.00000000', '0.76139800', '0.23860200', '0.76139800', '0.76139800', '0.00000000', '0.00000000', '0.76139800', '0.23860200'","0.00000000', '0.58505600', '0.41494400', '0.58505600', '0.41494400', '0.00000000', '0.66666700', '0.33333300', '0.33333300', '0.66666700', '0.00000000', '0.23860200', '0.76139800', '0.23860200', '0.76139800', '0.00000000', '0.76139800', '0.00000000', '0.23860200', '0.76139800', '0.00000000', '0.23860200'","0.25000000', '0.75000000', '0.75000000', '0.25000000', '0.25000000', '0.75000000', '0.00000000', '0.50000000', '0.00000000', '0.50000000', '0.11074100', '0.61074100', '0.61074100', '0.11074100', '0.11074100', '0.38925900', '0.38925900', '0.61074100', '0.38925900', '0.88925900', '0.88925900', '0.88925900'","[.75 00 025 075 025 [.,.]00 05 075 [..] 05"
"Yb', 'O'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","00 05 00 00 [.,.]05 05"
"Nb', 'Au', 'Au'","0.00000000', '0.66666700', '0.33333300'","0.00000000', '0.33333300', '0.66666700'","0.00000000', '0.50000000', '0.50000000'","[.,.75 05 025 075 025 [.]05 075"
"Mg', 'Sc'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","0.00000000', '0.50000000'","00 05 00 00 [.,.]05 05"
"Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'As', 'As'","0.33333300', '0.66666700', '0.00000000', '0.00000000', '0.33333300', '0.66666700', '0.66666700', '0.33333300'","0.66666700', '0.33333300', '0.00000000', '0.00000000', '0.66666700', '0.33333300', '0.33333300', '0.66666700'","0.92008000', '0.42008000', '0.25000000', '0.75000000', '0.57992000', '0.07992000', '0.75000000', '0.25000000'","[.,.67,.25 05 075 025 075 [.]05 025 [.75 075"
"C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'","0.09809200', '0.20049800', '0.90190800', '0.79950200', '0.89416100', '0.10583900', '0.79009200', '0.20990800', '0.69955300', '0.30044700', '0.59396200', '0.40603800', '0.68771300', '0.61086900', '0.31228700', '0.38913100', '0.58322000', '0.71776500', '0.41678000', '0.28223500', '0.37910400', '0.62089600', '0.19573600', '0.39551300', '0.80426400', '0.60448700', '0.88440200', '0.70720300', '0.11559800', '0.29279700', '0.67688200', '0.91296000', '0.32311800', '0.08704000', '0.27669100', '0.72330900'","0.79950200', '0.90190800', '0.20049800', '0.09809200', '0.89416100', '0.10583900', '0.79009200', '0.20990800', '0.69955300', '0.30044700', '0.59396200', '0.40603800', '0.38913100', '0.31228700', '0.61086900', '0.68771300', '0.28223500', '0.41678000', '0.71776500', '0.58322000', '0.37910400', '0.62089600', '0.60448700', '0.80426400', '0.39551300', '0.19573600', '0.29279700', '0.11559800', '0.70720300', '0.88440200', '0.08704000', '0.32311800', '0.91296000', '0.67688200', '0.27669100', '0.72330900'","0.96654600', '0.03345400', '0.03345400', '0.96654600', '0.93087700', '0.06912300', '0.86316100', '0.13683900', '0.80459100', '0.19540900', '0.73773600', '0.26226400', '0.70290600', '0.29709400', '0.29709400', '0.70290600', '0.63783000', '0.36217000', '0.36217000', '0.63783000', '0.60558700', '0.39441300', '0.93471600', '0.06528400', '0.06528400', '0.93471600', '0.73318200', '0.26681800', '0.26681800', '0.73318200', '0.60539400', '0.39460600', '0.39460600', '0.60539400', '0.54290500', '0.45709500'","[...,.75 00 05 00 [.]00 075 05 [..75 [."
